state,name,active,confirmed,recovered,deceased,date
Maharashtra,Mumbai,2455,2455,0,0,2020-04-21
Maharashtra,Mumbai,3300,3451,0,151,2020-04-22
Maharashtra,Mumbai,3039,3683,483,161,2020-04-23
Maharashtra,Mumbai,3555,4205,483,167,2020-04-24
Maharashtra,Mumbai,4388,5049,470,191,2020-04-25
Maharashtra,Mumbai,4652,5407,551,204,2020-04-26
Maharashtra,Mumbai,4547,5407,641,219,2020-04-27
Maharashtra,Mumbai,5239,6169,711,219,2020-04-28
Maharashtra,Mumbai,5438,6644,936,270,2020-04-29
Maharashtra,Mumbai,5679,7061,1092,290,2020-04-30
Maharashtra,Mumbai,5673,7061,1092,296,2020-05-01
Maharashtra,Mumbai,6903,8359,1134,322,2020-05-02
Maharashtra,Mumbai,7227,8800,1230,343,2020-05-03
Maharashtra,Mumbai,7227,8800,1230,343,2020-05-04
Maharashtra,Mumbai,8163,9945,1395,387,2020-05-05
Maharashtra,Mumbai,8697,10714,1605,412,2020-05-06
Maharashtra,Mumbai,9264,11394,1694,436,2020-05-07
Maharashtra,Mumbai,9887,12142,1793,462,2020-05-08
Maharashtra,Mumbai,10508,12864,1867,489,2020-05-09
Maharashtra,Mumbai,11364,13739,1867,508,2020-05-10
Maharashtra,Mumbai,11627,14521,2366,528,2020-05-11
Maharashtra,Mumbai,11878,14947,2513,556,2020-05-12
Maharashtra,Mumbai,12678,15747,2513,556,2020-05-13
Maharashtra,Mumbai,13378,16738,2739,621,2020-05-14
Maharashtra,Mumbai,14072,17671,2944,655,2020-05-15
Maharashtra,Mumbai,14599,18555,3260,696,2020-05-16
Maharashtra,Mumbai,15918,20150,3498,734,2020-05-17
Maharashtra,Mumbai,16848,21335,3730,757,2020-05-18
Maharashtra,Mumbai,16848,21335,3730,757,2020-05-19
Maharashtra,Mumbai,18925,24118,4352,841,2020-05-20
Maharashtra,Mumbai,19916,25500,4702,882,2020-05-21
Maharashtra,Mumbai,20573,27251,5769,909,2020-05-22
Maharashtra,Mumbai,21772,28817,6096,949,2020-05-23
Maharashtra,Mumbai,22471,30542,7083,988,2020-05-24
Maharashtra,Mumbai,23863,31972,7083,1026,2020-05-25
Maharashtra,Mumbai,23896,32974,8013,1065,2020-05-26
Maharashtra,Mumbai,24908,34018,8013,1097,2020-05-27
Maharashtra,Mumbai,25700,35485,8650,1135,2020-05-28
Maharashtra,Mumbai,25700,35485,8650,1135,2020-05-29
Maharashtra,Mumbai,20851,38442,16364,1227,2020-05-30
Maharashtra,Mumbai,20851,38442,16364,1227,2020-05-31
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-21
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-22
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-23
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-24
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-25
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-26
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-27
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-28
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-29
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-30
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-01
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-02
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-03
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-04
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-05
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-06
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-07
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-08
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-09
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-10
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-11
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-12
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-13
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-14
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-15
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-16
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-17
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-18
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-19
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-20
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-21
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-22
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-23
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-24
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-25
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-26
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-27
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-28
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-29
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-30
Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-31
Andaman and Nicobar Islands,South Andaman,5,15,10,0,2020-04-21
Andaman and Nicobar Islands,South Andaman,6,16,10,0,2020-04-22
Andaman and Nicobar Islands,South Andaman,10,20,10,0,2020-04-23
Andaman and Nicobar Islands,South Andaman,17,27,10,0,2020-04-24
Andaman and Nicobar Islands,South Andaman,22,32,10,0,2020-04-25
Andaman and Nicobar Islands,South Andaman,22,32,10,0,2020-04-26
Andaman and Nicobar Islands,South Andaman,22,32,10,0,2020-04-27
Andaman and Nicobar Islands,South Andaman,18,32,14,0,2020-04-28
Andaman and Nicobar Islands,South Andaman,18,32,14,0,2020-04-29
Andaman and Nicobar Islands,South Andaman,17,32,15,0,2020-04-30
Andaman and Nicobar Islands,South Andaman,17,32,15,0,2020-05-01
Andaman and Nicobar Islands,South Andaman,7,32,25,0,2020-05-02
Andaman and Nicobar Islands,South Andaman,1,32,31,0,2020-05-03
Andaman and Nicobar Islands,South Andaman,1,32,31,0,2020-05-04
Andaman and Nicobar Islands,South Andaman,1,32,31,0,2020-05-05
Andaman and Nicobar Islands,South Andaman,1,32,31,0,2020-05-06
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-07
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-08
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-09
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-10
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-11
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-12
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-13
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-14
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-15
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-16
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-17
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-18
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-19
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-20
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-21
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-22
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-23
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-24
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-25
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-26
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-27
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-28
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-29
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-30
Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-31
Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-21
Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-22
Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-23
Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-24
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-13
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-14
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-15
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-16
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-17
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-18
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-19
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-20
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-21
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-22
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-23
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-24
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-25
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-26
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-27
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-28
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-29
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-30
Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-31
Andhra Pradesh,Anantapur,31,36,2,3,2020-04-21
Andhra Pradesh,Anantapur,31,36,2,3,2020-04-22
Andhra Pradesh,Anantapur,32,42,7,3,2020-04-23
Andhra Pradesh,Anantapur,31,46,11,4,2020-04-24
Andhra Pradesh,Anantapur,34,51,13,4,2020-04-25
Andhra Pradesh,Anantapur,35,53,14,4,2020-04-26
