,state,district,active,confirmed,recovered,deceased,date
0,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-21
1,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-22
2,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-23
3,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-24
4,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-25
5,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-26
6,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-27
7,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-28
8,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-29
9,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-04-30
10,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-01
11,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-02
12,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-03
13,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-04
14,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-05
15,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-06
16,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-07
17,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-08
18,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-09
19,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-10
20,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-11
21,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-12
22,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-13
23,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-14
24,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-15
25,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-16
26,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-17
27,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-18
28,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-19
29,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-20
30,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-21
31,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-22
32,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-23
33,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-24
34,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-25
35,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-26
36,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-27
37,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-28
38,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-29
39,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-30
40,Andaman and Nicobar Islands,North and Middle Andaman,0,1,1,0,2020-05-31
41,Andaman and Nicobar Islands,South Andaman,5,15,10,0,2020-04-21
42,Andaman and Nicobar Islands,South Andaman,6,16,10,0,2020-04-22
43,Andaman and Nicobar Islands,South Andaman,10,20,10,0,2020-04-23
44,Andaman and Nicobar Islands,South Andaman,17,27,10,0,2020-04-24
45,Andaman and Nicobar Islands,South Andaman,22,32,10,0,2020-04-25
46,Andaman and Nicobar Islands,South Andaman,22,32,10,0,2020-04-26
47,Andaman and Nicobar Islands,South Andaman,22,32,10,0,2020-04-27
48,Andaman and Nicobar Islands,South Andaman,18,32,14,0,2020-04-28
49,Andaman and Nicobar Islands,South Andaman,18,32,14,0,2020-04-29
50,Andaman and Nicobar Islands,South Andaman,17,32,15,0,2020-04-30
51,Andaman and Nicobar Islands,South Andaman,17,32,15,0,2020-05-01
52,Andaman and Nicobar Islands,South Andaman,7,32,25,0,2020-05-02
53,Andaman and Nicobar Islands,South Andaman,1,32,31,0,2020-05-03
54,Andaman and Nicobar Islands,South Andaman,1,32,31,0,2020-05-04
55,Andaman and Nicobar Islands,South Andaman,1,32,31,0,2020-05-05
56,Andaman and Nicobar Islands,South Andaman,1,32,31,0,2020-05-06
57,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-07
58,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-08
59,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-09
60,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-10
61,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-11
62,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-12
63,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-13
64,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-14
65,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-15
66,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-16
67,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-17
68,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-18
69,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-19
70,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-20
71,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-21
72,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-22
73,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-23
74,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-24
75,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-25
76,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-26
77,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-27
78,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-28
79,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-29
80,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-30
81,Andaman and Nicobar Islands,South Andaman,0,32,32,0,2020-05-31
82,Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-21
83,Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-22
84,Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-23
85,Andaman and Nicobar Islands,Unknown,1,1,0,0,2020-04-24
86,Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-13
87,Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-14
88,Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-15
89,Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-16
90,Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-17
91,Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-18
92,Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-19
93,Andaman and Nicobar Islands,Nicobars,0,0,0,0,2020-05-20
